#,RDP Reference,Status,KPI Category,Definition (KPI),KPI Drivers - Initial input (Alix Partners),KPI Drivers as of 2.10.2025,"1. Board to 
Front line",2. Finance Co-owned,3. Embed policy-as-code,4. Standardized semantics,5. Integrate AI KPIs,"Driver Weighting
OPTIONAL",KPI Drivers ,Quality Criteria (1=Low),Quality Criteria (2=Low-Medium),Quality Criteria (3=Medium),Quality Criteria (4=Medium-High),Quality Criteria (5=High),
1,,confirmed,Strategy,Strategic alignment- aligning growth and margin strategy to needs.,Does the company have an AI strategy?,Does the company have an AI strategy? ,,,,,,,What is the maturity of the Companies AI Strategy?,"AI used sporadically, no formal strategy, limited business alignment.","Standalone AI projects, emerging roadmap, early data efforts but not integrated organization-wide.","Defined AI strategy aligned to business, cross-functional teams, enterprise data management, basic governance.","AI scaled across functions, mature data and ML platforms, KPIs tracked, workforce skilled, formal ethics.","AI is core to business model, continuous optimization, differentiated innovation, automated governance, and measurable impact.",
2,,confirmed,Strategy,Strategic alignment- aligning growth and margin strategy to needs.,Percentage of AI initiatives with outcomes tied to measurable business KPIs.,Percentage of AI initiatives with outcomes tied to measurable business KPIs.,,,,,,,"Evidence of AI initiatives with reported impact on key metrics (efficiency, CX, cost, or revenue)",No public evidence of AI impact,Only vague qualitative mentions (e.g. “AI improves customer experience”),1–2 specific examples with some evidence of business benefit,"Several initiatives with partial quantification (efficiency, cost, or CX impact)",Multiple initiatives with clearly quantified and recurring impact across business lines,
3,,confirmed,Strategy,Strategic alignment- aligning growth and margin strategy to needs,C-level statements about AI Strategy,C-level statements about AI Strategy,x,,,,,,Does the company’s C-level publicly communicate a defined AI strategy?,No public signals of stakeholder commitment to AI‑driven change.,"High‑level intent (e.g., upskilling plans) without governance, budget, or operating‑model changes.","Formal governance (e.g., AI council) or CAIO appointment; initial budget lines or hiring push; launch of training program and partner MoUs.","Cross‑functional operating model with clear RACI; disclosed reskilling targets (e.g., ≥1,000 employees), regulatory/ethics engagement, and signed multi‑year partner agreements to support rollout.","Board‑level oversight (committee/charter), public change KPIs (e.g., % workforce trained, adoption rates), union/regulator agreements where relevant, and multi‑year funding commitments with progress updates in filings.", 
4,19,confirmed,Strategy,Strategic alignment- aligning growth and margin strategy to needs,Presence of AI talent/experience on the Board,Presence of AI talent/experience on the Board,,,,,,,Are there board members with proven AI expertise?,Zero directors with AI/ML/data expertise.,One director with general tech/IT background; limited direct AI experience.,"≥1 director with substantive AI/ML/data leadership (e.g., led DS/ML at major tech) or recognized academic AI credentials; sporadic mention of board AI oversight.","≥2 directors with strong AI/ML credentials OR a formal board committee with AI in its remit (e.g., Technology & Innovation/Risk) and disclosed oversight responsibilities.",≥3 directors with AI/ML track records AND an active board committee overseeing AI strategy/risk/ethics; regular AI reporting in the annual report and participation in external AI governance forums., 
5,,confirmed,Strategy,Trust and change management- secure stakeholder buy-in to drive change,"AI communications in social media, white papers (volume and boldness of messaging), limit to G7 or primary markets","AI communications in social media, white papers (volume and boldness of messaging), limit to G7 or primary markets",,,,,,,"How proactive and impactful is the company’s public AI messaging (social, white papers) in core markets?",≤2 items in last 12 months; generic messaging; no metrics or named partners/customers.,3–5 items; mostly marketing; limited telecom specificity; few quantified claims.,"6–10 items; includes ≥1 white paper or major conference talk (e.g., MWC, TM Forum) with telecom use‑case detail; at least one piece with quantified impact.","11–20 items; steady multi‑channel cadence; several case studies with metrics (e.g., AHT↓, energy↓), named partners/customers, and earned‑media pickup.",">20 items; sustained multi‑channel presence; bold, target‑backed claims (e.g., care deflection ≥20%, RAN energy ↓ ≥10%), multiple reference customers, open‑sourced assets/benchmarks, and third‑party awards.", 
6,"5, 28",confirmed,Strategy,Use Case Selection- Target high impact use cases,Number of use cases  and alignment with strategic priorities,Number of use cases  and alignment with strategic priorities,,,,,,,"What is the number of documented AI use cases, and how well are they aligned with business strategy?",0 disclosed AI use cases.,"1–2 isolated pilots (e.g., basic chatbot or RPA) with no explicit link to telecom strategy.","3–5 disclosed use cases (e.g., churn prediction, network anomaly alerts, SIM‑fraud detection) with limited/implicit strategic linkage; mixed pilot/production status.","6–10 use cases spanning ≥3 domains (customer care, network/SRAN, field ops, B2B) with explicit ties to 5G rollout, CX/NPS, OPEX/energy; several in production with metrics.",">10 use cases across portfolio (care automation/FCR/AHT, proactive outage prevention/MTTR, SON/RAN energy optimization, predictive maintenance, enterprise SLA assurance, sales NBA) with strong strategic linkage and analyst‑recognized business impact.", 
7,20,confirmed,Strategy,Adoption speed of AI solutions,When were the first AI solutions executed?,When were the first AI solutions executed?,,,,,,,How long has the company had operational AI solutions in place?,No public evidence of executed AI solutions as of today; only roadmap language or experiments without dates/results.,First externally evidenced execution 2023–2025 (late adopter).,First externally evidenced execution 2020–2022 (follower).,First externally evidenced execution 2017–2019 (early adopter within telco).,"First externally evidenced execution ≤2016 (pioneer), and evidence of continuity (at least one AI project referenced in external sources in ≥3 different years since 2018).", 
8,,confirmed,Strategy,Long term AI Roadmap,,,x,,,,,,"Presence and clarity of a publicly communicated AI roadmap outlining long-term objectives, milestones, and investment priorities.",No roadmap or only vague statements.,Draft or internal roadmap; limited scope.,Public roadmap with some milestones but unclear ownership or KPIs.,"Comprehensive roadmap with defined goals, milestones, and periodic updates.","Enterprise-wide, integrated AI roadmap with measurable milestones, funding alignment, and executive accountability.", 
9,,confirmed,Execution,AI Funding,,,,x,,,,,"To what extent does the organization allocate and scale financial, human, and technological resources to AI initiatives in a way that delivers measurable business outcomes?",Minimal or ad-hoc resource allocation.,Small budgets/pilots; inconsistent tracking.,Dedicated AI funding and teams in select areas; some business outcomes measured.,Sustained resource scaling across functions; measurable ROI for major initiatives.,"Systematic enterprise allocation tied to KPIs, ROI dashboards, and continuous reprioritization.", 
10,,confirmed,Execution,"AI building- build tailored, practical AI models","Type of technology, AI model (include agentic AI) point in time implementation or agents Maturity of agentic workforce within the operating model. ","Type of technology, AI model (include agentic AI) point in time implementation or agents Maturity of agentic workforce within the operating model. ",,,,,,,"What AI technologies/models are used, and what is the maturity of agent-based AI integrations in business operations?",Only generic analytics/RPA publicly visible; no LLM/agent pilots; 0 job postings citing LLM/RAG/agent frameworks.,One‑off ML/LLM pilot disclosed; vendor‑led POC; 1–2 job postings mention LLM/RAG; no agentic workforce evidence.,Classical ML plus ≥1 LLM/RAG pilot in CX or knowledge search; early assistive “copilot” for employees; 3–5 job postings cite LLM/RAG; one public case study.,"Production LLM/RAG in ≥2 domains (e.g., care deflection + field ops) and initial agentic automations (e.g., ticket triage); ≥2 case studies and ≥6 job postings referencing agents/LLM ops; mentions of MLOps/tooling.","Agentic architecture embedded in operating model (multi‑agent workflows in care, network assurance, field ops) with governance; >3 public references and ≥10 job postings citing agent frameworks; analyst/award recognition and reported KPI gains.", 
11,"1, 17",confirmed,Execution,"AI building- build tailored, practical AI models","Has implementation been primarily an in-house development or partnership model? In-house or outsource some risk, external expertise","Has implementation been primarily an in-house development or partnership model? In-house or outsource some risk, external expertise",,,,,,,"Is AI development mainly in-house or partnership-based, and how does this affect risk and expertise?",Single‑vendor POCs; no internal AI platform/team publicly evident; no multi‑year alliances.,Vendor‑led pilots with staff augmentation; 1–2 named partners; limited internal ownership.,"Hybrid approach with internal product owner and partner build; ≥2 named partners (e.g., hyperscaler + OSS/BSS); initial internal ML/data hires visible.","Clear build‑buy‑partner strategy: public internal AI platform, ≥3 strategic partners, joint case studies, early co‑development/IP sharing.","Balanced model: robust in‑house platform/CoE plus ≥4 strategic partners (hyperscaler, network vendors, SI); multiple co‑developed assets, open‑source/patents, and long‑term funding disclosed.", 
12,"5,6,7, 28",confirmed,Execution,Business deployment- integration into on-going operations,Nature of AI use cases- Does the model integrate into business processes or is it a stand-alone?,Nature of AI use cases- Does the model integrate into business processes or is it a stand-alone?,,,,,,,"Are AI use cases integrated into core business processes, or do they operate as standalone projects?",Stand‑alone tools/demos; no links to OSS/BSS/CRM or operational workflows.,"Partial integration in a single function (e.g., basic chatbot) without process KPIs.","Integrated into ≥2 processes (e.g., CRM next‑best‑offer, NOC anomaly triage) with published process KPIs; limited automation.","Deep integration across ≥3 processes with closed‑loop actions (e.g., auto‑ticketing/dispatch); case studies cite AHT/FCR/MTTR improvements; visible change‑management.","Enterprise‑wide integration across customer, network, and field ops with policy/guardrails; external reports show sustained KPI gains and automated rollback/approval workflows.", 
13,"5, 28",confirmed,Execution,Performance and ROI tracking,"Number Use case with ROI stated, and what ROI was, how long it took to be achieved","Number Use case with ROI stated, and what ROI was, how long it took to be achieved",x,,,,,,Total number of documented AI use cases implemented by the company,1–5 use cases,6–15 use cases,16–30 use cases,31–60 use cases,More than 60 use cases (broad enterprise-wide deployment), 
14,,confirmed,Execution,Performance and ROI tracking,Use cases- Number of disclosed AI use cases,Use cases- Number of disclosed AI use cases,x,x,,,x,,"Number of AI use cases demonstrating measurable financial impact (e.g., revenue, cost, or efficiency gains)",<10% of use cases show measurable impact,10–25% of use cases show measurable impact,26–50% of use cases show measurable impact,51–75% of use cases show measurable impact,>75% of use cases show measurable impact, 
15,21,confirmed,Execution,Performance and ROI tracking,,,x,,,,,,"To what extent has the company achieved measurable workforce efficiency through AI or GenAI — such as automation, task augmentation, or optimized hiring — resulting in stable or increased output with equal or fewer FTEs?",Limited impact: <10% improvement in a defined function or <5% automation of interactions; no measurable productivity gain.,"Localized impact: 10–20% productivity improvement OR 5–15% automation/deflection in specific workflows (e.g., care, networks, IT).",Functional impact: 20–30% improvement in one major function OR 15–25% automation across multiple workflows.,"Multi-function impact: documented efficiency gains in 2–3 major functions, with 20–40% automation/augmentation and measurable throughput increase.",Enterprise impact: >40% automation or augmentation in several functions; measurable enterprise-wide productivity uplift; hiring avoided at scale (>5–10% workforce equivalent)., 
16,,confirmed,Execution,Performance and ROI tracking,Number of use cases with financial value,Number of use cases with financial value,x,x,,,x,,Proportion of AI use cases that are ROI-positive (benefits exceed total costs),<5% ROI-positive,5–15% ROI-positive,16–30% ROI-positive,31–50% ROI-positive,>50% ROI-positive, 
17,22,confirmed,Execution,Continuous learning and improvement. Refine models with new attributes and data,"New functionality releases, build on from foundational model","New functionality releases, build on from foundational model",,,,,,,How frequently does the company release new AI-based functionalities or model improvements?,No new AI functionality released publicly in the last 12 months.,1 minor feature release (pilot scale) not clearly built on a foundation model.,"2–3 releases enhancing a foundation/LLM (e.g., RAG, prompt library, new telco intents); ≥1 in production.",3–4 releases/year building on the same foundation (versioned upgrades) across ≥2 domains; integration/API extensions noted.,≥5 releases/year with roadmap transparency; multi‑language/country rollout; extensions (tools/agents) on a stable foundation model; external references and adoption metrics., 
18,,confirmed,Execution,Rollout and Usage,N/A,N/A,,,,,,,"To what extent has the company operationalized AI — demonstrating tangible rollout and active usage of AI or GenAI in core business operations, workflows, or decision processes at scale?","Up to 4 pilots and 1 scaled use cases; <5% of processes or workforce uses artificial intelligence; no monitoring, no service levels, and no centralized governance.",2–8 scaled use cases in 1 function; 15–25% of processes or workforce uses artificial intelligence; basic and inconsistent operational procedures with limited documentation.,"8–15 scaled use cases across 2–3 functions; 25–50% of processes or workforce uses artificial intelligence; core operations in place including model registry, monitoring, retraining triggers, and documented incidents.","15–25 scaled use cases across 4–7 functions and multiple regions; 50–80% of processes or workforce uses artificial intelligence; standardized operations including automated testing, drift detection, formal approvals, and regular leadership reporting.",">25 scaled use cases across ≥8 functions and several countries; >80% of processes or workforce uses artificial intelligence; enterprise-grade operations with high reliability, strict quality controls, independent audits, and finance-confirmed business impact.", 
19,,confirmed,Technical,Data- secure and expand data,Appointment of a Chief Data Officer (or Data Leadership title equivalent),Appointment of a Chief Data Officer (or Data Leadership title equivalent),,,,,,,Has the company appointed a dedicated Chief Data Officer or equivalent position - exclusivly related to Governance?,No named CDO/data leadership role; no public data‑governance or AI/data policy references.,"Senior data leader exists (e.g., VP/Head) but not enterprise‑wide; reports under IT; limited public mandate; ≤2 relevant data/ML governance job postings in last 12 months.",Named CDO/CDO‑equivalent appointed (≤36 months) with enterprise data‑governance scope; data policy/standards mentioned in filings or website; 3–5 related postings.,"Enterprise CDO with board/exec oversight, data council, and published governance (catalog, quality, privacy); ≥6 postings for data/ML platform/governance; references to a standardized data platform.",Mature model: CDO reporting to CEO/CFO/CTO; board or committee oversight; periodic public reporting on data/AI governance; evidence of standardized data platform across markets/brands., 
20,,confirmed,Technical,Data- secure and expand data,,,,,,,,,"To what extent has the company maintained data security and confidentiality in its AI operations — including the presence or absence of data breaches, leaks, or other security incidents over the past five years?",Repeated or major data breaches; weak controls.,One or more incidents with partial remediation.,Managed risk; isolated incidents handled effectively.,No incidents in past five years; strong controls and certifications.,"Proactive AI-specific security, independent audits, real-time monitoring; spotless record.", 
21,,confirmed,Technical,Data Strategy and Architecture,,,,,,x,,,"To what extent has the company established a mature, enterprise-wide data strategy and foundational architecture that effectively supports AI development and deployment?",No coherent data strategy or architecture.,Fragmented data initiatives; limited AI readiness.,Central data architecture under development; partial AI enablement.,Established enterprise data strategy enabling scalable AI.,"Fully integrated, adaptive data architecture governed enterprise-wide with AI readiness by design.", 
22,,confirmed,Technical,Data integration and interoperability,,,,,,x,,,To what extent does the company integrate and harmonize data from diverse internal and external sources to make it efficiently usable for AI and analytics applications?,Data silos; no integration.,Basic ETL or manual data joins.,Integration across key systems; moderate usability for AI.,Automated pipelines; unified data lake/mesh; strong usability.,"Near-real-time data integration, governed metadata, external + internal harmonization.", 
23,,confirmed,Technical,Infrastructure Scalability and Performance,,,,,,,,,"To what extent is the company’s hardware and cloud infrastructure capable of handling expanding AI workloads with high responsiveness, scalability, and cost-efficiency?",Infrastructure outdated or on-prem only.,Partial cloud use; scalability limits.,Modern infrastructure but cost/latency issues.,Scalable hybrid/cloud infra optimized for AI loads.,"Elastic, cost-optimized AI infrastructure with auto-scaling and performance monitoring.", 
24,,confirmed,Technical,Technology & Analytics platforms,,,,,,,,,"To what extent has the company adopted modern, enterprise-grade analytics and AI platforms that streamline model development, deployment, monitoring, and lifecycle management?",No standard AI/analytics platform.,Tools exist but fragmented; manual processes.,Unified platform adopted by some teams.,Enterprise-wide standardized AI platform with MLOps tooling.,"Fully integrated AI ecosystem with governance, automation, and continuous model ops.", 
25,,confirmed,Technical,MLOps and Model Management,,,x,,x,,,,"To what extent are the company’s processes and tools for developing, deploying, monitoring, and improving ML models mature, automated, and aligned with production standards?","Manual, experimental workflows.",Basic CI/CD; inconsistent monitoring.,Defined MLOps pipeline in select teams.,"Automated, monitored ML lifecycle with versioning and QA.",Enterprise-grade continuous ML ops with feedback loops and A/B governance., 
26,,confirmed,Technical,Data security & Privacy,,,,,x,,,,"To what extent has the company implemented robust mechanisms that safeguard data against unauthorized access or misuse, ensuring compliance with privacy and security regulations (e.g., GDPR, CCPA)?",No compliance controls; violations reported.,Basic policies; partial compliance.,Formal compliance framework with periodic audits.,"Certified, organization-wide compliance with privacy laws.","Continuous monitoring, privacy-by-design, AI-specific compliance automation.", 
27,,confirmed,Technical,Legacy System modernization and integration,,,,,,,,,To what extent is the company modernizing or integrating legacy systems into its current data and AI architecture to eliminate bottlenecks and data silos?,Legacy systems dominate; no integration plan.,Partial modernization projects.,System upgrades underway; partial AI connectivity.,Majority modernized; API-based interoperability.,"Fully integrated, API-driven, cloud-native environment; no functional silos.", 
28,,confirmed,Technical,Emerging Tech Adoption (AI-adjacent),,,,,,,,,"To what extent does the company explore and adopt complementary frontier technologies (e.g., IoT, blockchain, edge computing, AR/VR, quantum computing) that enhance or expand AI capabilities?",No exploration of emerging tech.,Ad-hoc R&D pilots.,Regular experimentation in some areas.,Active multi-tech adoption supporting AI value creation.,"Strategic, scaled integration of frontier tech with measurable AI synergies.", 
29,8,confirmed,Technical,Technology- build or buy scalable AI infrastructure,Investments in AI-focused companies,Investments in AI-focused companies,,,,,,,Has the company invested in AI-focused startups or technology companies?,0 publicly disclosed AI investments or CVC activity in last 36 months.,1 small AI investment or accelerator participation disclosed; limited detail on use-case fit.,"2–3 AI investments disclosed (last 36 months) with at least one telco-relevant use case (e.g., network AI, CX GenAI); basic integration pilots mentioned.","4–6 AI investments; portfolio spans multiple telco domains (OSS/BSS, RAN, CX); co-development or joint GTM announcements with milestones.",>6 AI investments and an active CVC program; follow-on rounds or exits; portfolio companies referenced in deployments/case studies with measurable impact., 
30,4,confirmed,Technical,Technology- build scalable AI infrastructure,Acquisitions of AI-focused companies,Acquisitions of AI-focused companies,,,,,,,Has the company acquired any AI-focused firms in recent years?,No AI-focused acquisitions disclosed in last 36 months.,1 acquihire or minor AI acquisition disclosed; limited integration evidence.,"1–2 AI acquisitions with clear telco applicability (e.g., model monitoring, network analytics) and initial post-merger integration milestones.","≥2 AI acquisitions integrated into platforms/processes within 12–18 months; public case studies/benefits (e.g., MTTR↓, energy↓).","≥3 AI acquisitions with demonstrable integration across markets/domains (OSS/BSS, network, CX) and disclosed synergy metrics or analyst recognition.", 
31,4,confirmed,Technical,Technology- build scalable AI infrastructure,Acquisitions of AI-focused tools,Acquisitions of AI-focused tools,,,,,,,"Has the company acquired AI-specific tools, platforms, or software assets?",0–1 named AI tools/platforms publicly referenced; activity limited to trials/POCs.,"2–3 named tools adopted (e.g., model serving or vector DB) but limited integration; no reference architecture; vendor-led pilots.","3–5 named tools in production across ≥3 categories (e.g., feature store, MLOps, monitoring, vector DB, orchestration); at least one vendor case study.","6–8 tools rationalized under a reference architecture with APIs/SSO/RBAC; multi-domain usage (CX, network, field) and ≥2 public case studies.",>8 tools integrated as a coherent platform with centralized governance and observability; multi-country rollout and recurring third-party references/benchmarks., 
32,"1, 17",confirmed,Technical, Operations- set structure and automation,Partnerships with AI companies,Partnerships with AI companies,,,,,,,How extensive are the company’s partnerships with external AI vendors or startups?,0–1 active partnerships in last 24 months with verifiable activity; 0 strategic partners of material scale; no published use cases or technical outputs.,2–10 active partnerships with limited depth; 0–1 strategic partners; activity limited to pilots or proofs of concept without published results or customer adoption.,"11–20 active partnerships across 2–3 business areas; includes ≥1 strategic partner beyond standard cloud providers; at least 1 publicly demonstrated technical output (e.g., working prototype, documented architecture).",21–30 active partnerships across multiple functions and ≥2 countries; ≥2 strategic partners with deep engagement; ≥2 co-developed solutions with published technical milestones or early customer usage.,">30 active partnerships across global operations; ≥3 deep strategic partners with multi-year agreements; ≥3 commercially deployed solutions co-developed with partners, with measurable customer or financial outcomes, plus jointly developed intellectual property or patents.", 
33,18,confirmed,Organizational,"AI Team- hire, retain, engage AI talent",Job postings- number of open positions advertised in the public domain,Job postings- number of open positions advertised in the public domain,,,,,,,How many AI-related roles are publicly advertised in HR/job postings?,0–2 AI/ML/data roles posted in last 12 months; roles generic or contractor; little/no telco-domain language.,"3–10 postings; mainly one function; junior roles; sparse telco use‑case keywords (e.g., churn, NOC).","11–30 postings across DS/DE/MLE/AI PM; multi‑market; ads reference telco use cases (RAN, churn, CX bots).",31–75 postings incl. senior hires and MLOps; steady cadence; explicit OSS/BSS/RAN/NOC requirements.,">75 postings across multiple markets and job families (incl. Responsible AI, RAG, vector DB); sustained cadence and leadership roles.", 
34,,confirmed,Organizational,"AI Team- hire, retain, engage AI talent",Training- disclosed training efforts and breadth of the activity (public disclosure),Training- disclosed training efforts and breadth of the activity (public disclosure),,,,,,,"Communication of AI skill-building, academies, or employee enablement",No mention of AI training or skills initiatives,Generic training reference (non-AI-specific),"Named AI upskilling initiative (e.g., “AI Academy”)",Structured multi-level training for multiple roles or functions,"Published metrics on AI skill programs (participation, certifications, or results)", 
35,,confirmed,Organizational,"AI Team- hire, retain, engage AI talent",AI Team Leadership structure- number of leaders (percentage of Job Titles),AI Team Leadership structure- number of leaders (percentage of Job Titles),,,,,,,AI Team Leadership structure- number of leaders (percentage of Job Titles),<1% of AI/Data job titles; no evidence of a central AI owner or governance.,"1.0–2.0% of AI/Data job titles; roles are fragmented (e.g., only in IT or only in CX) with unclear cross‑network/product coverage.","2.0–3.5%; coverage across core functions (Data Science, Data Engineering, MLOps) and at least one domain leader (e.g., Network AI or AI Product). Evidence of a central accountable role (e.g., Head of AI/CDO).","3.5–5.0%; clearly defined AI governance/CoE and domain leads for network, IT, and commercial; external references to steering committees or operating models.",">5.0%; multi‑regional or BU‑embedded leadership (network, enterprise, consumer, platform) plus platform/ethics/security leads; external recognition of structure (analyst notes, org announcements).", 
36,,confirmed,Organizational,"AI Team- hire, retain, engage AI talent",AI Team Leadership structure- number of leaders (in number),AI Team Leadership structure- number of leaders (in number),,,,,,,AI Team Leadership structure- number of leaders (in number),No named AI/ML leaders beyond manager level; ad‑hoc reporting lines.,"Single functional leader (e.g., Head of Data Science) with limited enterprise scope.","2–3 leaders (e.g., Data Eng, DS, AI Product) with a visible CoE and BU liaisons.","4–5 leaders covering DS, DE, MLOps/Platform, AI Product, Responsible AI; cross‑functional governance (RACI) disclosed.",>5 leaders incl. group‑level and in‑country leads; formal AI operating model with enterprise CoE and federated pods., 
37,,confirmed,Organizational,"AI Team- hire, retain, engage AI talent",Appointment of Chief AI Officer ,Appointment of Chief AI Officer ,x,,,,,,Has a formal Chief AI Officer role been established?,No CAIO (or equivalent) appointed; AI responsibilities fragmented.,CAIO or equivalent referenced but scope/seniority unclear; limited public updates.,"CAIO appointed ≤24 months with defined remit; initial roadmap, budget or hiring plans mentioned.",CAIO with direct line to CEO/CTO/CDO; AI council in place; regular external updates on milestones.,CAIO with board‑level oversight; enterprise KPIs tied to AI published; external recognition (awards/analyst notes)., 
